fund,date,ticker,weight
combined_equal_weight,2021-05-03,PLD,0.016666666666666666
combined_equal_weight,2021-06-01,PLD,0.016666666666666666
combined_equal_weight,2021-07-01,PLD,0.016666666666666666
combined_equal_weight,2021-08-02,PLD,0.016666666666666666
combined_equal_weight,2021-09-01,PLD,0.016666666666666666
combined_equal_weight,2021-10-01,PLD,0.016666666666666666
combined_equal_weight,2021-11-01,PLD,0.016666666666666666
combined_equal_weight,2021-12-01,PLD,0.016666666666666666
combined_equal_weight,2022-01-03,PLD,0.016666666666666666
combined_equal_weight,2022-02-01,PLD,0.016666666666666666
combined_equal_weight,2022-03-01,PLD,0.016666666666666666
combined_equal_weight,2022-04-01,PLD,0.016666666666666666
combined_equal_weight,2022-05-02,PLD,0.016666666666666666
combined_equal_weight,2022-06-01,PLD,0.016666666666666666
combined_equal_weight,2022-07-01,PLD,0.016666666666666666
combined_equal_weight,2022-08-01,PLD,0.016666666666666666
combined_equal_weight,2022-09-01,PLD,0.016666666666666666
combined_equal_weight,2022-10-03,PLD,0.016666666666666666
combined_equal_weight,2022-11-01,PLD,0.016666666666666666
combined_equal_weight,2022-12-01,PLD,0.016666666666666666
combined_equal_weight,2023-01-03,PLD,0.016666666666666666
combined_equal_weight,2023-02-01,PLD,0.016666666666666666
combined_equal_weight,2023-03-01,PLD,0.016666666666666666
combined_equal_weight,2023-04-03,PLD,0.016666666666666666
combined_equal_weight,2023-05-01,PLD,0.016666666666666666
combined_equal_weight,2023-06-01,PLD,0.016666666666666666
combined_equal_weight,2023-07-03,PLD,0.016666666666666666
combined_equal_weight,2023-08-01,PLD,0.016666666666666666
combined_equal_weight,2023-09-01,PLD,0.016666666666666666
combined_equal_weight,2023-10-02,PLD,0.016666666666666666
combined_equal_weight,2023-11-01,PLD,0.016666666666666666
combined_equal_weight,2023-12-01,PLD,0.016666666666666666
combined_equal_weight,2021-01-04,PSA,0.016666666666666666
combined_equal_weight,2021-02-01,PSA,0.016666666666666666
combined_equal_weight,2021-03-01,PSA,0.016666666666666666
combined_equal_weight,2021-04-01,PSA,0.016666666666666666
combined_equal_weight,2021-05-03,PSA,0.016666666666666666
combined_equal_weight,2021-06-01,PSA,0.016666666666666666
combined_equal_weight,2021-07-01,PSA,0.016666666666666666
combined_equal_weight,2021-08-02,PSA,0.016666666666666666
combined_equal_weight,2021-09-01,PSA,0.016666666666666666
combined_equal_weight,2021-10-01,PSA,0.016666666666666666
combined_equal_weight,2021-11-01,PSA,0.016666666666666666
combined_equal_weight,2021-12-01,PSA,0.016666666666666666
combined_equal_weight,2022-01-03,PSA,0.016666666666666666
combined_equal_weight,2022-02-01,PSA,0.016666666666666666
combined_equal_weight,2022-03-01,PSA,0.016666666666666666
combined_equal_weight,2022-04-01,PSA,0.016666666666666666
combined_equal_weight,2022-05-02,PSA,0.016666666666666666
combined_equal_weight,2022-06-01,PSA,0.016666666666666666
combined_equal_weight,2022-07-01,PSA,0.016666666666666666
combined_equal_weight,2022-08-01,PSA,0.016666666666666666
combined_equal_weight,2022-09-01,PSA,0.016666666666666666
combined_equal_weight,2022-10-03,PSA,0.016666666666666666
combined_equal_weight,2022-11-01,PSA,0.016666666666666666
combined_equal_weight,2022-12-01,PSA,0.016666666666666666
combined_equal_weight,2023-01-03,PSA,0.016666666666666666
combined_equal_weight,2023-02-01,PSA,0.016666666666666666
combined_equal_weight,2023-03-01,PSA,0.016666666666666666
combined_equal_weight,2023-04-03,PSA,0.016666666666666666
combined_equal_weight,2023-05-01,PSA,0.016666666666666666
combined_equal_weight,2023-06-01,PSA,0.016666666666666666
combined_equal_weight,2023-07-03,PSA,0.016666666666666666
combined_equal_weight,2023-08-01,PSA,0.016666666666666666
combined_equal_weight,2023-09-01,PSA,0.016666666666666666
combined_equal_weight,2023-10-02,PSA,0.016666666666666666
combined_equal_weight,2023-11-01,PSA,0.016666666666666666
combined_equal_weight,2023-12-01,PSA,0.016666666666666666
combined_equal_weight,2021-01-04,QCOM,0.016666666666666666
combined_equal_weight,2021-02-01,QCOM,0.016666666666666666
